TransactionAmt,addr1,card1,TransactionDT,isFraud
46.92680899768591,441,3725,298371,0
301.0121430917521,357,10615,1444161,0
131.67456935454493,487,9009,567841,0
91.29425537759532,144,5014,1926777,0
16.962487046234628,368,6780,2259658,0
16.959629191460518,410,5595,1666857,0
5.983876860868068,259,9265,1885824,0
201.12308644799396,377,4018,1625889,0
91.90821536272645,444,7292,518868,0
123.12500617045903,154,2560,1426057,0
2.0799307999138623,244,10083,1799513,0
350.3557475158312,334,12324,1613483,0
178.6429543354675,278,11081,1600146,0
23.8687625248947,307,14365,465044,0
20.067898874966335,235,10438,690040,0
20.261142283225706,452,12994,2455969,0
36.27537294604771,493,1472,891932,0
74.39278308608544,374,6435,1897934,0
56.55370667803366,483,3217,1310503,0
34.42229925539415,497,9892,2252658,0
94.63708738997987,422,11271,1372925,0
15.023452872733866,282,1052,1894161,0
34.551551200240226,160,3987,1187706,0
45.6277218220847,162,9330,2164800,0
60.893468785977504,460,10589,850143,0
153.7936011030912,314,3137,164315,0
22.273586212869027,459,1827,524613,0
72.20291550331277,238,11275,2022918,0
89.75047213097605,233,9164,2473532,0
4.756384975640855,133,12168,1920191,0
93.533302064961,292,2248,2137959,0
18.696125197741644,454,13841,2440649,0
6.726393087930424,419,5835,1593501,0
297.3687793506931,186,13556,468240,0
337.06303424611724,309,14197,709547,0
165.23315728128767,180,9377,368583,0
36.32878599687583,421,4442,819856,0
10.277731500250624,438,14156,1404077,0
115.27507630986618,289,8402,2433924,0
58.009084258539836,447,4193,1356106,0
13.015223395444863,332,5928,216361,0
68.35472281341501,491,10604,429917,0
3.4993721443479084,268,12380,1891515,0
240.04228873930236,350,14777,321975,0
29.94577768406861,267,8596,2290899,0
108.62557985649804,330,3916,1878551,0
37.354658165762366,249,10207,2554583,0
73.41108959092286,251,5537,1098377,0
79.12237979817975,137,13326,283288,0
20.438859950790576,485,8051,1133787,0
349.28071327362267,480,14932,1532076,0
149.22453771381407,396,6645,183245,0
280.50944192915824,374,5261,2534255,0
225.21519975341965,204,2935,919398,0
91.1054412383275,485,9041,1703917,0
254.9435379269405,447,10660,1184968,0
9.265545895311563,451,5538,2241449,0
21.813469463126744,161,5426,1813694,0
4.628196568683196,115,14280,1948520,0
39.35320868030868,449,2358,2589080,0
49.21302917942186,249,14423,913334,0
31.65604432088257,241,2769,1448679,0
176.45578652409338,215,11953,122587,0
44.12269995298701,411,12074,1819201,0
32.98028401342492,164,10381,1843153,0
78.2407083207746,409,14725,1331281,0
15.189814782062886,293,2192,1999450,0
162.04835957747312,441,3816,85675,0
7.747586881130901,260,7267,2537399,0
433.41463395873194,405,12813,1956386,0
147.94837762415114,460,8025,1998369,0
22.153944050588596,377,5856,1200101,0
0.5537420375935475,395,6217,1490181,0
168.9896777486126,138,2042,2447536,0
122.70959073870446,460,6243,300246,0
130.5662908787999,268,9417,1123291,0
147.52145260435134,167,11170,1724554,0
7.692926551379635,106,7755,1084462,0
44.38926724162325,184,7467,845431,0
12.315010460444965,298,4977,1773018,0
198.85295716582226,231,14328,2554586,0
97.63011917123741,175,13023,2465831,0
40.1818801251301,349,11836,1160537,0
6.566806580478289,446,2883,1980220,0
37.24883504103537,308,14767,354709,0
39.331421318413135,183,1540,1131239,0
130.7875783957741,322,9837,2395346,0
101.488935892602,352,6085,53285,0
218.22519124015147,130,5801,137683,0
63.90661333763098,454,5726,1893458,0
12.73723936155019,300,8022,758574,0
124.91263443165994,151,13478,429969,0
143.0392753076864,467,2688,246251,0
82.38874948858287,171,10046,2398505,0
147.38899667213644,120,7634,2355783,0
68.0814731510278,115,1404,1211687,0
73.9678838777267,115,4343,1509277,0
55.781419390842736,274,8811,453003,0
2.574777399011373,411,8018,1856885,0
11.416743519186584,437,11669,1715645,0
3.1933681293053824,177,9711,1533765,1
101.17295509275495,339,14957,164450,0
37.73967087950999,136,12132,2417787,0
71.04371771341901,331,2407,284645,0
238.12655298459754,499,10012,425947,0
28.673882298329833,312,8030,2227718,0
52.82819748826726,292,8359,2386202,0
140.87491475385835,159,12866,2263553,0
25.980515691739402,288,5530,2448261,0
8.010427855017637,366,8928,1082172,0
34.21403038870571,225,13027,2246303,0
17.580835850006284,302,5067,960668,0
265.4950085880625,421,7206,1353953,0
165.08870804845694,481,12479,2566976,0
100.34941905205311,131,3181,560521,0
205.1519730520813,411,13906,1753353,0
162.79689407405564,360,4232,2321956,0
20.649547635863907,486,9616,128287,0
223.0813405235561,445,2551,552255,0
77.5099901966172,193,1357,1153422,0
164.73482913035662,427,12638,2435599,0
226.42426492862313,199,2594,1530029,0
38.27307164183185,384,6128,58233,0
11.659216012385084,414,10202,142763,0
25.868674613938136,124,9388,1918539,1
55.70576927486144,452,14428,414076,0
170.3829726638945,456,10225,2554418,0
197.13449718798333,216,10053,1998186,0
0.6976409181650647,298,1348,286905,0
71.48761593385558,378,12969,1257381,0
54.02733209186713,169,2658,691461,0
25.11673382758245,434,9766,1953711,0
12.768039154564681,178,14315,902411,0
41.190857986243245,453,2819,1550961,0
286.31211226911495,113,7471,291820,0
39.03838028814744,128,6881,1846248,0
73.1452805760152,243,7655,242755,0
121.40869768808548,442,10122,1395742,0
45.197449896696234,109,5008,2510370,0
356.77981382916994,146,7043,1855235,0
328.2009864541398,359,13874,475656,0
29.006129499220528,111,1483,116332,0
68.76592784638473,397,4912,2359950,0
35.79304600790468,325,1357,1518431,0
33.52496763810817,359,13672,1953480,0
3.758447776552253,183,9445,118639,0
94.04920709825932,447,13186,1763103,0
69.85196328296385,447,10026,1323855,0
5.285108738039248,105,2190,1299756,0
32.662592101036935,497,10895,1770985,0
238.88609510893403,346,14083,402688,0
27.386055214207705,134,5564,2396988,0
15.653086098546975,274,6979,1862722,0
67.22721094736363,164,9684,1023700,0
424.40369826152596,246,14207,2269403,0
27.71448135597262,156,4409,1363881,0
111.51550102972934,292,13338,1135455,0
143.3887626239463,112,12319,44767,0
27.133317233580577,491,11312,2197085,0
130.2748928492316,117,13057,1182897,0
45.8522799264304,345,9243,1768771,0
100.05037477317713,262,9453,1835231,0
100.38378271376382,442,12194,264589,0
76.73852499523488,213,2908,1432735,0
9.462915881162095,381,4646,2441669,0
180.3644794246297,332,8715,231422,0
38.68102936673966,265,14832,30544,0
20.643210660755653,421,3377,2550434,0
4.1629759794345205,125,12586,897026,0
89.37784045945834,225,5336,406096,0
113.18517342673489,412,6404,1991346,0
1.672694755847062,380,6958,2102631,0
71.76305845494883,385,2625,1696592,0
25.682414705495766,490,6418,112568,0
103.61243415476919,382,10420,1364573,0
19.160422253913374,238,5386,152280,0
117.4212527567719,200,7354,563221,0
48.89587009811018,491,2389,149924,0
276.0343817804307,110,6909,423037,0
14.794441343927895,481,2487,1113867,0
41.713243399517175,315,7501,1227366,0
12.044428503699642,129,10108,567863,0
258.61903971507235,193,11333,1217641,0
209.8333707160994,215,1710,1629812,0
29.83273700614889,370,2886,2427050,0
107.87627390439145,390,3216,1272112,0
169.94840726392212,138,2320,1711851,0
81.01323606865081,123,8906,448911,0
75.42794101939461,363,11755,2571197,0
27.687704543790314,142,5445,818009,0
9.772614047494073,269,5831,2498894,0
227.51232251945228,439,11818,431971,0
230.67744276484268,268,8817,361626,1
100.26699194828848,402,7984,2554607,0
41.40465098113239,125,9592,82549,0
42.95676158116439,279,1750,1513342,0
129.4465429727118,249,14762,950352,0
227.40973491072523,232,6594,434625,0
218.1132569396613,242,14108,1403802,0
151.3562191930903,263,14730,1414453,0
102.7310693567705,200,8171,2510830,0
8.789172619608406,162,8491,1898327,0
17.62942146834115,192,2887,346043,0
228.82305001775057,306,4685,1708711,0
93.24939469655895,410,2418,1109315,0
0.9239605610994409,171,3603,787161,0
10.699690143594932,159,14430,1666275,0
108.9162387290241,128,4771,2534339,0
0.5074437051797003,118,6100,1362892,0
17.531581610419906,172,14253,2347687,0
79.56978461389316,493,14302,443688,0
117.73152866548126,456,14501,971264,0
105.54414821352486,493,11210,2356232,0
25.39498673080245,345,11228,111178,0
124.54172888985389,412,10837,1798991,0
27.082375905280593,423,4487,1755996,0
39.363490891808446,186,10005,1968270,0
137.23575516657905,458,6910,1833446,0
104.87738143027681,282,7308,387265,0
189.1956077463401,296,5733,862729,0
107.18132881697625,343,4169,1864733,0
84.00443055872574,427,2023,1025302,0
9.835706144841048,484,10701,238357,0
45.84163072070201,217,11230,204572,0
30.816014785883116,495,2393,1640364,0
27.970020366242128,471,6239,62943,0
361.23094061629257,181,3346,647584,0
49.938749704002376,346,1855,814280,0
222.6055211248523,333,10358,918848,0
99.73343857364831,464,3754,1673905,0
158.38252526883997,252,2665,2320751,1
69.84353243887705,371,5038,829999,0
86.0155902641585,491,11164,502477,0
67.82934333416935,134,4687,1679189,0
21.72148953252385,312,2116,1222560,0
128.1761803065804,310,12560,1988485,0
32.957736836626296,238,5542,2194266,0
2.4616481080688613,288,1733,814405,0
103.69687862952739,399,12975,2320299,0
19.493357022482268,494,3921,1619761,0
282.1083147273303,351,12521,772623,0
307.75624127880235,494,13809,421166,0
246.35098846338414,249,10898,855681,0
46.228739649736674,440,14686,2256548,0
1.5577315371944382,318,4498,1682710,0
263.552345733189,181,10316,1650388,0
55.89382770530613,289,5717,1584604,0
340.0842016122056,333,5854,377350,0
331.37354761302055,275,2858,29598,0
191.7387017179419,331,11483,380862,0
34.87760681721603,457,6473,1237932,0
48.62919320986936,162,3513,350399,0
190.47266524780798,336,5960,1251349,0
38.11462314307171,132,4515,699198,0
18.57186162957548,312,11192,2474063,0
81.37369920602278,159,10989,1389851,0
275.1293470807042,478,3316,73830,0
119.08255977579371,101,11772,385752,0
84.41123364356555,496,3014,1522673,0
10.222819734932289,156,3167,589396,0
95.45307155177177,400,4028,1083794,0
461.05697478463173,386,11139,1535564,0
15.092058664226416,237,10335,1291009,0
73.04953249815037,378,13997,1463090,0
209.86086379007943,313,5231,25315,0
135.003424835367,338,4148,1021517,0
119.4074425301673,384,8521,1503393,0
121.22875562244899,130,10127,238161,0
44.549234231494914,305,12349,702679,0
34.75620842670952,373,1000,1081906,0
165.73745072597123,110,9268,2118546,0
166.13281990870288,458,14248,2459299,0
201.7950047367915,146,14833,107220,0
244.46159618366363,102,8611,161653,0
71.60932369329038,229,3628,910745,0
69.61843775511993,171,7134,1721662,0
160.09499323084876,258,11387,2234452,0
104.97190748878002,491,1573,380932,0
121.0550648511517,229,2548,346346,0
158.86194749542048,121,9377,2303346,0
220.7323476346767,479,14988,1733520,0
41.24824071376542,488,13809,1404705,0
47.09367887275563,234,13034,1402387,0
9.869603918736056,119,7045,1860507,0
86.34140266094347,319,4492,1188680,0
3.6604104210857,432,11435,2134643,0
62.66069481821096,229,9225,83971,0
78.2294585687126,131,8839,2469702,0
33.76306603145225,189,10812,962442,0
89.36325301461753,358,6689,2066837,0
3.0975062101474546,397,2896,435612,0
3.806349928278938,432,3455,408090,0
172.93513695381358,348,10992,1956179,0
44.65850242077447,272,6416,2104973,0
13.588904129742799,456,13824,1336841,0
73.86535882790156,483,11275,1670658,0
146.96479404457352,146,6383,2536396,0
24.311800342990335,296,2405,384053,0
97.52196186564929,478,12880,1244321,0
8.921102898989728,133,11844,1126117,0
5.306509591030941,353,5538,1354584,0
75.7908940625521,347,2186,1511870,0
77.79104426947421,141,13325,240707,1
101.4537448204616,388,3139,1546009,0
129.49605629166842,222,3678,242841,0
372.3557008699993,126,4794,424397,0
72.62911192303562,158,3719,1809631,0
39.00197141059788,246,9048,1951579,0
158.56539797326863,214,5602,2528444,0
31.585146543613728,486,11418,2074664,0
57.798343127330135,298,11523,1217492,0
8.17051685836699,227,13215,1402605,0
2.5677609541474378,475,5450,2546340,0
328.7379923268602,252,12560,1894916,0
180.77676421150625,468,4957,2428033,0
119.06427327993416,370,14846,2443136,0
52.58596444651419,438,7069,1648680,0
19.030653614210873,182,9679,1399816,0
17.012074157285415,122,14293,308836,0
28.80059891265836,110,1278,1904334,0
79.67906483133146,286,3591,1284848,0
125.38492877767757,215,9841,2396162,0
107.93903496967985,261,12170,1203608,0
32.84122613889959,202,1354,1880059,0
309.81034985563065,342,3242,1191661,0
133.90174048752263,106,5899,1793457,0
80.82304819313313,461,7236,2348862,0
94.6030472037435,271,3480,2088916,0
54.40378655320514,355,1557,887002,0
28.466129227406352,346,14338,936136,0
44.00141293231124,291,4486,1364361,0
141.8181847756713,213,1161,695834,0
1.4498079720804276,122,7244,2204248,0
12.338039223997605,457,1698,1613618,0
4.709437695252053,413,11165,1377091,0
4.1581451917292425,375,4544,1767547,0
193.42030336156586,472,4777,1571723,0
121.62406117006883,235,3205,1397370,0
64.27845944128924,456,1491,1337067,0
10.295691844781325,294,2992,47486,0
67.65179657972332,357,2032,67148,0
64.14503320943712,377,4283,880717,0
19.019471280022497,169,12702,422219,0
56.88991313023239,458,7016,1341602,0
50.83366145832069,459,5919,708757,0
95.67224329131345,135,13966,2562607,0
100.81145360409121,207,6974,2202225,0
4.636232402053473,123,9977,725141,0
46.938400465506156,239,2833,796232,1
98.31249947827285,121,1991,1752871,0
69.94394526077897,438,13398,1147241,0
194.13494531754387,428,7984,231797,0
107.49747640549978,303,7346,572162,0
